Order.Date,Region,Category,Sub.Category,Sales,Profit,Customer.Name,Segment
2011-01-07,West,Office Supplies,Paper,19,9.3312,Lycoris Saunders,Consumer
2011-01-21,West,Office Supplies,Paper,19,9.2928,Mark Van Huff,Consumer
2011-08-05,West,Office Supplies,Paper,21,9.8418,Chad Sievert,Consumer
2011-08-05,West,Office Supplies,Paper,111,53.2608,Chad Sievert,Consumer
2011-09-29,West,Office Supplies,Paper,6,3.1104,Arthur Prichep,Consumer
2011-10-19,West,Office Supplies,Paper,13,6.5856,Jeremy Farry,Consumer
2011-11-04,West,Office Supplies,Paper,19,9.3312,William Brown,Consumer
2011-11-12,West,Office Supplies,Paper,12,5.8604,Joseph Airdo,Consumer
2011-11-22,West,Office Supplies,Paper,54,24.219,Susan Pistek,Consumer
2011-12-05,West,Office Supplies,Paper,49,23.0864,Rob Lucas,Consumer
2011-12-13,West,Office Supplies,Paper,90,41.5104,Katherine Ducich,Consumer
2012-02-15,West,Office Supplies,Paper,13,6.4128,Justin MacKendrick,Consumer
2012-02-15,West,Office Supplies,Paper,19,9.3312,Justin MacKendrick,Consumer
2012-02-16,West,Office Supplies,Paper,37,17.3148,Rob Dowd,Consumer
2012-03-28,West,Office Supplies,Paper,33,16.032,Alan Barnes,Consumer
2012-04-11,West,Office Supplies,Paper,53,24.2696,Andy Reiter,Consumer
2012-06-19,West,Office Supplies,Paper,6,3.1104,Logan Haushalter,Consumer
2012-08-31,West,Office Supplies,Paper,58,27.9936,Andrew Roberts,Consumer
2012-11-22,West,Office Supplies,Paper,38,18.2112,Nathan Gelder,Consumer
2012-11-22,West,Office Supplies,Paper,43,19.26,Nathan Gelder,Consumer
2012-11-24,West,Office Supplies,Paper,369,180.7659,Darren Powers,Consumer
2012-11-24,West,Office Supplies,Paper,19,9.3312,Toby Swindell,Consumer
2012-11-24,West,Office Supplies,Paper,147,68.9631,Kunst Miller,Consumer
2012-12-20,West,Office Supplies,Paper,17,7.704,Arianne Irving,Consumer
2012-12-30,West,Office Supplies,Paper,69,31.5192,Clay Ludtke,Consumer
2013-03-13,West,Office Supplies,Paper,20,8.991,Scot Wooten,Consumer
2013-03-29,West,Office Supplies,Paper,6,2.9302,Chris Cortes,Consumer
2013-04-09,West,Office Supplies,Paper,20,9.6192,Logan Currie,Consumer
2013-04-09,West,Office Supplies,Paper,13,6.2208,Logan Currie,Consumer
2013-04-13,West,Office Supplies,Paper,19,9.3312,Jason Fortune-,Consumer
2013-04-20,West,Office Supplies,Paper,23,10.224,Jas O'Carroll,Consumer
2013-05-09,West,Office Supplies,Paper,18,8.073,Trudy Brown,Consumer
2013-05-12,West,Office Supplies,Paper,6,2.691,Ted Trevino,Consumer
2013-05-17,West,Office Supplies,Paper,17,8.4966,Denny Ordway,Consumer
2013-05-28,West,Office Supplies,Paper,13,6.1548,Lynn Smith,Consumer
2013-05-29,West,Office Supplies,Paper,183,84.0512,Clay Ludtke,Consumer
2013-06-11,West,Office Supplies,Paper,32,15.552,Olvera Toch,Consumer
2013-06-17,West,Office Supplies,Paper,46,21.7845,Bill Donatelli,Consumer
2013-06-18,West,Office Supplies,Paper,220,107.7216,Mike Vittorini,Consumer
2013-07-04,West,Office Supplies,Paper,13,6.2208,Guy Thornton,Consumer
2013-07-08,West,Office Supplies,Paper,49,24.47,Christopher Conant,Consumer
2013-08-15,West,Office Supplies,Paper,16,7.6146,Jill Matthias,Consumer
2013-08-16,West,Office Supplies,Paper,38,18.0096,Bill Donatelli,Consumer
2013-09-30,West,Office Supplies,Paper,19,9.1056,Pamela Stobb,Consumer
2013-10-08,West,Office Supplies,Paper,11,5.0688,Cindy Chapman,Consumer
2013-10-09,West,Office Supplies,Paper,62,27.882,Joel Eaton,Consumer
2013-11-04,West,Office Supplies,Paper,315,150.984,Xylona Preis,Consumer
2013-11-04,West,Office Supplies,Paper,116,56.9772,Xylona Preis,Consumer
2013-11-04,West,Office Supplies,Paper,19,9.3312,Xylona Preis,Consumer
2013-11-11,West,Office Supplies,Paper,68,32.5008,Arianne Irving,Consumer
2013-11-11,West,Office Supplies,Paper,61,28.858,Arianne Irving,Consumer
2014-01-15,West,Office Supplies,Paper,155,69.705,Sean O'Donnell,Consumer
2014-02-24,West,Office Supplies,Paper,37,16.848,Clytie Kelty,Consumer
2014-04-18,West,Office Supplies,Paper,28,13.5072,Pamela Stobb,Consumer
